client_ts_utc,request_index,attempt_index,target_address,success,grpc_code,grpc_details,latency_ms_client,server_elapsed_ms,algo_reported_ms,replica_id,size,mode,threads
2025-12-23T14:44:06.666104Z,1,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,83.385,0.000,0.000,,1024,omp,4
2025-12-23T14:44:07.263693Z,2,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.135,0.000,0.000,,1024,omp,4
2025-12-23T14:44:07.776814Z,3,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.512,0.000,0.000,,1024,omp,4
2025-12-23T14:44:08.289149Z,4,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.784,0.000,0.000,,1024,omp,4
2025-12-23T14:44:08.799525Z,5,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.098,0.000,0.000,,1024,omp,4
2025-12-23T14:44:09.311426Z,6,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.559,0.000,0.000,,1024,omp,4
2025-12-23T14:44:09.826999Z,7,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.912,0.000,0.000,,1024,omp,4
2025-12-23T14:44:10.340284Z,8,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.227,0.000,0.000,,1024,omp,4
2025-12-23T14:44:10.855091Z,9,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.131,0.000,0.000,,1024,omp,4
2025-12-23T14:44:11.368454Z,10,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.562,0.000,0.000,,1024,omp,4
2025-12-23T14:44:11.882614Z,11,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.161,0.000,0.000,,1024,omp,4
2025-12-23T14:44:12.398020Z,12,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.008,0.000,0.000,,1024,omp,4
2025-12-23T14:44:12.911714Z,13,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.091,0.000,0.000,,1024,omp,4
2025-12-23T14:44:13.424532Z,14,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.159,0.000,0.000,,1024,omp,4
2025-12-23T14:44:13.927859Z,15,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.602,0.000,0.000,,1024,omp,4
